Index,City,Cloudiness,Country,Date,Humidity,Lat,lng,Max Temp,Wind Speed
0,Codrington,75,AU,1570709077,82,-28.95,153.24,62.6,3.82
1,Katsuura,75,JP,1570709077,69,33.93,134.5,73.4,6.93
2,Castro,90,CL,1570709077,100,-42.48,-73.76,48.2,10.29
3,Saint-Philippe,1,CA,1570709077,93,45.36,-73.48,48.0,9.34
4,Kaeo,100,NZ,1570709077,94,-35.1,173.78,61.0,14.0
5,Kruisfontein,68,ZA,1570709077,55,-34.0,24.73,60.82,10.5
6,Ribeira Grande,40,PT,1570709078,64,38.52,-28.7,71.6,10.29
7,Rikitea,100,PF,1570709078,66,-23.12,-134.97,68.56,4.63
8,Pevek,99,RU,1570709078,82,69.7,170.27,23.56,11.2
9,Portland,75,US,1570708821,70,43.66,-70.25,50.0,10.29
10,Carnarvon,74,ZA,1570709078,9,-30.97,22.13,69.64,10.54
11,Lompoc,90,US,1570709078,87,34.64,-120.46,57.0,3.36
12,Mataura,100,NZ,1570709079,90,-46.19,168.86,44.01,11.99
13,Padang,87,ID,1570709079,98,-0.92,100.36,69.64,1.2
14,Khatanga,60,RU,1570709079,91,71.98,102.47,15.1,10.4
15,Aleksandrovka,92,RU,1570709079,71,54.24,50.04,48.94,7.62
16,Kudahuvadhoo,100,MV,1570709079,70,2.67,72.89,83.14,7.53
17,Butaritari,100,KI,1570709079,64,3.07,172.79,84.4,10.61
18,Vinkovci,75,HR,1570709080,82,45.29,18.8,57.99,10.29
19,Bluff,0,AU,1570709080,82,-23.58,149.07,63.7,11.82
20,Fortuna,1,US,1570709080,26,40.6,-124.16,39.0,5.31
21,Saint Anthony,1,US,1570709080,61,43.97,-111.68,17.6,8.05
22,Jamestown,50,AU,1570709080,41,-33.21,138.6,49.3,3.86
23,Omboue,80,GA,1570709080,82,-1.57,9.26,80.98,5.82
24,Cape Town,0,ZA,1570709081,37,-33.93,18.42,73.99,8.05
25,Lasa,20,CY,1570709081,61,34.92,32.53,82.4,11.41
26,Longyearbyen,20,NO,1570709081,68,78.22,15.63,28.4,19.46
27,Manakara,14,MG,1570709081,66,-22.14,48.01,79.36,13.32
28,Sept-Iles,5,CA,1570709081,92,50.2,-66.38,36.0,5.82
29,Busselton,43,AU,1570709081,59,-33.64,115.35,61.0,8.4
30,Belyy Yar,0,RU,1570709082,41,53.6,91.39,41.0,4.47
31,Ushuaia,90,AR,1570709082,91,-54.81,-68.31,32.0,38.03
32,Yumen,10,CN,1570709082,24,40.29,97.04,61.72,6.34
33,Batagay-Alyta,100,RU,1570709082,88,67.8,130.41,7.36,5.26
34,Provideniya,0,RU,1570709082,80,64.42,-173.23,25.54,3.18
35,Kibala,20,TD,1570709082,52,9.11,18.35,87.8,6.93
36,Norman Wells,75,CA,1570709082,71,65.28,-126.83,33.8,4.7
37,Mocuba,93,MZ,1570709083,19,-16.84,36.99,103.3,5.67
38,Vaini,40,IN,1570709083,78,15.34,74.49,78.8,11.41
39,Sambava,39,MG,1570709083,54,-14.27,50.17,81.52,7.28
40,Severo-Kurilsk,88,RU,1570709083,95,50.68,156.12,41.92,24.12
41,Qaanaaq,98,GL,1570709083,75,77.48,-69.36,22.48,11.13
42,Mangalore,20,IN,1570709083,66,12.87,74.84,87.8,9.17
43,Bredasdorp,0,ZA,1570709083,42,-34.53,20.04,71.01,12.75
44,Tiarei,40,PF,1570709084,73,-17.53,-149.33,75.2,2.24
45,Nanortalik,10,GL,1570709084,77,60.14,-45.24,39.22,12.79
46,Kiri Buru,47,IN,1570709084,87,22.08,85.35,75.58,4.51
47,North Platte,90,US,1570709084,80,41.12,-100.77,35.6,26.4
48,Esperance,0,AU,1570709084,72,-33.86,121.89,60.8,5.82
49,Sayyan,62,YE,1570709084,32,15.17,44.32,68.74,11.17
50,Arthur,90,US,1570709085,80,41.57,-101.69,32.0,21.92
51,Victoria,75,BN,1570709086,78,5.28,115.24,80.6,10.75
52,Vardo,40,US,1570709086,76,39.62,-77.74,51.01,5.74
53,Rocha,17,UY,1570709086,72,-34.48,-54.34,70.9,10.13
54,Hithadhoo,100,MV,1570709086,83,-0.6,73.08,80.8,15.83
55,Arlit,1,NE,1570709086,29,18.74,7.39,93.4,3.05
56,Chokurdakh,72,RU,1570709086,87,70.62,147.9,10.78,2.21
57,Shakawe,81,BW,1570709087,16,-18.36,21.84,98.08,5.67
58,Anchorage,90,US,1570709086,93,61.22,-149.89,44.6,5.82
59,Vikhorevka,75,RU,1570709087,53,56.12,101.17,24.8,4.47
60,Atuona,3,PF,1570709087,76,-9.8,-139.03,78.1,12.8
61,Oksovskiy,79,RU,1570709087,87,62.61,39.91,38.5,5.44
62,Clyde River,90,CA,1570709087,85,70.47,-68.59,33.8,34.45
