#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Sun Oct  6 02:08:03 EDT 2019.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20191001,-74.7,45.8,1
20191001,-74.3,45.8,4
20191001,-74.2,45.8,4
20191001,-74.1,45.8,8
20191001,-73.9,45.8,1
20191001,-73.8,45.8,1
20191001,-73.6,45.8,1
20191001,-87,45.9,1
20191001,-81,45.9,13
20191001,-77,45.9,1
20191001,-89.1,45.9,1
20191001,-88.9,45.9,1
20191001,-88.8,45.9,1
20191001,-88.3,45.9,1
20191001,-87.4,45.9,1
20191001,-86.9,45.9,1
20191001,-83.4,45.9,1
20191001,-81.6,45.9,2
20191001,-81.4,45.9,1
20191001,-81.3,45.9,6
20191001,-81.2,45.9,4
20191001,-81.1,45.9,11
20191001,-80.9,45.9,7
20191001,-80.8,45.9,4
20191001,-80.7,45.9,2
20191001,-79.6,45.9,1
20191001,-78.7,45.9,2
20191001,-78.4,45.9,1
20191001,-78.3,45.9,1
20191001,-78.2,45.9,1
20191001,-78.1,45.9,1
20191001,-77.2,45.9,1
20191001,-77.1,45.9,3
20191001,-76.9,45.9,4
20191001,-76.8,45.9,4
20191001,-76.5,45.9,1
20191001,-76.1,45.9,1
20191001,-75.8,45.9,2
20191001,-75.7,45.9,1
20191001,-75.5,45.9,1
20191001,-75.3,45.9,1
20191001,-75.2,45.9,1
20191001,-80.7,45.7,1
20191001,-80.5,45.7,2
20191001,-79.9,45.7,1
20191001,-79.3,45.7,1
20191001,-79.2,45.7,8
20191001,-79.1,45.7,2
20191001,-78.9,45.7,4
20191001,-78.8,45.7,2
20191001,-78.7,45.7,8
20191001,-78.6,45.7,8
20191001,-78.5,45.7,10
20191001,-78.4,45.7,13
20191001,-78.3,45.7,11
20191001,-78.2,45.7,14
20191001,-78.1,45.7,2
20191001,-77.9,45.7,1
20191001,-75.4,45.7,1
20191001,-75.1,45.7,3
20191001,-74.9,45.7,3
20191001,-74.8,45.7,2
20191001,-74.7,45.7,3
20191001,-74.5,45.7,1
20191001,-74.4,45.7,1
20191001,-74.3,45.7,5
20191001,-74.2,45.7,3
20191001,-74.1,45.7,8
20191001,-73.9,45.7,9
20191001,-73.8,45.7,13
20191001,-73.7,45.7,7
20191001,-73.6,45.7,3
20191001,-73.5,45.7,3
20191001,-73.4,45.7,1
20191001,-73.1,45.7,2
20191001,-81,45.8,1
20191001,-79,45.8,4
20191001,-77,45.8,2
20191001,-75,45.8,1
20191001,-74,45.8,7
20191001,-92.6,45.8,1
20191001,-92.4,45.8,1
20191001,-92.3,45.8,2
20191001,-81.2,45.8,1
20191001,-80.8,45.8,1
20191001,-79.5,45.8,2
20191001,-79.4,45.8,2
20191001,-79.3,45.8,8
20191001,-79.2,45.8,8
20191001,-79.1,45.8,2
20191001,-78.9,45.8,3
20191001,-78.8,45.8,12
20191001,-78.7,45.8,5
20191001,-78.6,45.8,6
20191001,-78.5,45.8,7
20191001,-78.4,45.8,6
20191001,-78.3,45.8,2
20191001,-78.1,45.8,1
20191001,-76.9,45.8,1
20191001,-76.8,45.8,5
20191001,-76.7,45.8,1
20191001,-76.6,45.8,5
20191001,-75.4,45.8,2
20191001,-75.3,45.8,4
20191001,-75.2,45.8,9
20191001,-75.1,45.8,5
20191001,-74,45.6,1
20191001,-73,45.6,1
20191001,-92.9,45.6,2
20191001,-92.8,45.6,1
20191001,-89.1,45.6,3
20191001,-81.1,45.6,1
20191001,-80.6,45.6,1
20191001,-80.4,45.6,3
20191001,-80.3,45.6,2
20191001,-79.9,45.6,2
20191001,-79.7,45.6,2
20191001,-79.6,45.6,3
20191001,-79.4,45.6,1
20191001,-79.3,45.6,1
20191001,-79.2,45.6,1
20191001,-79.1,45.6,2
20191001,-78.9,45.6,2
20191001,-78.7,45.6,1
20191001,-78.6,45.6,2
20191001,-78.5,45.6,9
20191001,-78.4,45.6,14
20191001,-78.3,45.6,12
20191001,-78.2,45.6,13
20191001,-78.1,45.6,17
20191001,-77.9,45.6,21
20191001,-77.8,45.6,5
20191001,-77.7,45.6,2
20191001,-77.6,45.6,1
20191001,-76.6,45.6,1
20191001,-76.5,45.6,1
20191001,-76.3,45.6,1
20191001,-75.9,45.6,1
20191001,-75.8,45.6,2
20191001,-75.7,45.6,4
20191001,-75.3,45.6,1
20191001,-75.2,45.6,1
20191001,-75.1,45.6,1
20191001,-74.9,45.6,1
20191001,-74.8,45.6,4
20191001,-74.7,45.6,2
20191001,-74.6,45.6,6
20191001,-74.5,45.6,3
20191001,-74.4,45.6,3
20191001,-74.3,45.6,2
20191001,-74.2,45.6,2
20191001,-74.1,45.6,1
20191001,-73.9,45.6,4
20191001,-73.8,45.6,2
20191001,-73.7,45.6,5
20191001,-73.6,45.6,10
20191001,-73.5,45.6,5
